RecoveryID,StudentID,CourseName,StudyWeek,Task,Status,Deadline
RB2932,S001,Data Structures,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
R81B16,S001,Data Structures,Week 3,Meeting with module lecturer,Completed,2025-12-15
R19A71,S001,Data Structures,Week 4,Take recovery exam,Pending,2025-12-22
R34E09,S001,Algorithms,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
REB54C,S001,Algorithms,Week 3,Meeting with module lecturer,Pending,2025-12-15
R8B6A2,S001,Algorithms,Week 4,Take recovery exam,Pending,2025-12-22
R9B9BE,S001,Operating Systems,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
R91B9D,S001,Operating Systems,Week 3,Meeting with module lecturer,Pending,2025-12-15
RD907E,S001,Operating Systems,Week 4,Take recovery exam,Pending,2025-12-22
RBD47C,S001,Networking,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
R95B23,S001,Networking,Week 3,Meeting with module lecturer,Pending,2025-12-15
R9F61D,S001,Networking,Week 4,Take recovery exam,Pending,2025-12-22
R13645,S002,Linguistics,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
R96E28,S002,Linguistics,Week 3,Meeting with module lecturer,Pending,2025-12-15
RC63F7,S002,Linguistics,Week 4,Take recovery exam,Pending,2025-12-22
R4ED7B,S007,English Composition,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
RBD733,S007,English Composition,Week 3,Meeting with module lecturer,Pending,2025-12-15
RC9A53,S007,English Composition,Week 4,Take recovery exam,Pending,2025-12-22
RC02D9,S013,Operating Systems,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
R114A1,S013,Operating Systems,Week 3,Meeting with module lecturer,Pending,2025-12-15
RD9890,S013,Operating Systems,Week 4,Take recovery exam,Pending,2025-12-22
RD46B0,S016,History,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
R19164,S016,History,Week 3,Meeting with module lecturer,Pending,2025-12-15
RD264B,S016,History,Week 4,Take recovery exam,Pending,2025-12-22
R2F613,S029,English Composition,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
RC397A,S029,English Composition,Week 3,Meeting with module lecturer,Pending,2025-12-15
R6B672,S029,English Composition,Week 4,Take recovery exam,Pending,2025-12-22
RA2F25,S030,Literature,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
REBAC7,S030,Literature,Week 3,Meeting with module lecturer,Pending,2025-12-15
R99A13,S030,Literature,Week 4,Take recovery exam,Pending,2025-12-22
R4837B,S033,Economics,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
REA7DE,S033,Economics,Week 3,Meeting with module lecturer,Pending,2025-12-15
R5D09C,S033,Economics,Week 4,Take recovery exam,Pending,2025-12-22
R7E723,S046,Data Analysis,Week 1 – 2,Review all lecture topic,Pending,2025-12-08
